Connecting to host 10.10.10.1, port 5202
[  5] local 10.10.10.2 port 33241 connected to 10.10.10.1 port 5202
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  6.79 MBytes  57.0 Mbits/sec  4920  
[  5]   1.00-2.00   sec  3.71 MBytes  31.2 Mbits/sec  2690  
[  5]   2.00-3.00   sec  3.07 MBytes  25.7 Mbits/sec  2220  
[  5]   3.00-4.00   sec  2.09 MBytes  17.5 Mbits/sec  1510  
[  5]   4.00-5.00   sec  1.80 MBytes  15.1 Mbits/sec  1300  
[  5]   5.00-6.00   sec  1.41 MBytes  11.8 Mbits/sec  1020  
[  5]   6.00-7.00   sec  84.8 KBytes   695 Kbits/sec  60  
[  5]   7.00-8.00   sec  99.0 KBytes   811 Kbits/sec  70  
[  5]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   9.00-10.00  sec  70.7 KBytes   580 Kbits/sec  50  
[  5]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  12.00-13.00  sec   679 KBytes  5.57 Mbits/sec  480  
[  5]  13.00-14.00  sec   495 KBytes  4.05 Mbits/sec  350  
[  5]  14.00-15.00  sec   141 KBytes  1.16 Mbits/sec  100  
[  5]  15.00-16.00  sec   537 KBytes  4.40 Mbits/sec  380  
[  5]  16.00-17.00  sec   226 KBytes  1.85 Mbits/sec  160  
[  5]  17.00-18.00  sec  56.6 KBytes   463 Kbits/sec  40  
[  5]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  5]  19.00-20.00  sec  42.4 KBytes   347 Kbits/sec  30  
[  5]  20.00-21.00  sec   410 KBytes  3.36 Mbits/sec  290  
[  5]  21.00-22.00  sec   410 KBytes  3.36 Mbits/sec  290  
[  5]  22.00-23.00  sec   537 KBytes  4.40 Mbits/sec  380  
[  5]  23.00-24.00  sec   368 KBytes  3.01 Mbits/sec  260  
[  5]  24.00-25.00  sec   184 KBytes  1.51 Mbits/sec  130  
[  5]  25.00-26.00  sec   184 KBytes  1.51 Mbits/sec  130  
[  5]  26.00-27.00  sec   354 KBytes  2.90 Mbits/sec  250  
[  5]  27.00-28.00  sec   226 KBytes  1.85 Mbits/sec  160  
[  5]  28.00-29.00  sec   368 KBytes  3.01 Mbits/sec  260  
[  5]  29.00-30.00  sec   452 KBytes  3.71 Mbits/sec  320  
[  5]  30.00-31.00  sec   452 KBytes  3.71 Mbits/sec  320  
[  5]  31.00-32.00  sec   537 KBytes  4.40 Mbits/sec  380  
[  5]  32.00-33.00  sec   226 KBytes  1.85 Mbits/sec  160  
[  5]  33.00-34.00  sec  99.0 KBytes   811 Kbits/sec  70  
[  5]  34.00-35.00  sec  84.8 KBytes   695 Kbits/sec  60  
[  5]  35.00-36.00  sec   226 KBytes  1.85 Mbits/sec  160  
[  5]  36.00-37.00  sec  42.4 KBytes   347 Kbits/sec  30  
[  5]  37.00-38.00  sec  99.0 KBytes   811 Kbits/sec  70  
[  5]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  5]  39.00-40.00  sec  99.0 KBytes   811 Kbits/sec  70  
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  41.00-42.00  sec   170 KBytes  1.39 Mbits/sec  120  
[  5]  42.00-43.00  sec   184 KBytes  1.51 Mbits/sec  130  
[  5]  43.00-44.00  sec  99.0 KBytes   811 Kbits/sec  70  
[  5]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  5]  45.00-46.00  sec  99.0 KBytes   810 Kbits/sec  70  
[  5]  46.00-47.00  sec  42.4 KBytes   348 Kbits/sec  30  
[  5]  47.00-48.00  sec  42.4 KBytes   347 Kbits/sec  30  
[  5]  48.00-49.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  5]  49.00-50.00  sec   226 KBytes  1.85 Mbits/sec  160  
[  5]  50.00-51.00  sec  42.4 KBytes   347 Kbits/sec  30  
[  5]  51.00-52.00  sec   226 KBytes  1.85 Mbits/sec  160  
[  5]  52.00-53.00  sec   184 KBytes  1.51 Mbits/sec  130  
[  5]  53.00-54.00  sec   141 KBytes  1.16 Mbits/sec  100  
[  5]  54.00-55.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  5]  55.00-56.00  sec  99.0 KBytes   811 Kbits/sec  70  
[  5]  56.00-57.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  5]  57.00-58.00  sec  56.6 KBytes   463 Kbits/sec  40  
[  5]  58.00-59.00  sec   170 KBytes  1.39 Mbits/sec  120  
[  5]  59.00-60.00  sec  99.0 KBytes   811 Kbits/sec  70  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  29.1 MBytes  4.06 Mbits/sec  0.000 ms  0/21040 (0%)  sender
[  5]   0.00-63.96  sec  27.6 MBytes  3.63 Mbits/sec  12.890 ms  1007/21023 (4.8%)  receiver

iperf Done.
